PROCESSO,OSC,VALOR,PROJETO,PARLAMENTAR,cnpj,
04008-00000377/2025-98,"ANJOGAMES ASSOCIACAO NACIONAL DE JOGOS, CAMPEONATOS, EQUIPES E JOGADORES ELETRONICOS","500.000,00",BRASILIA RETRO GAMES,Jaqueline Silva,20.801.244/0001-80,
04008-00000391/2025-91,LABORATÓRIO DE INFORMÁTICA MDCS,150.000,LABORATÓRIO DE INFORMÁTICA MDCS,Paula Belmonte,05.432.697/0001-93,
04008-00000336/2025-00,ASSOCIACAO CULTURAL NAMASTE,"250.000,00",FUTURO EM AÇÃO- CONSTRUINDO SOLUÇÕES COM CIÊNCIA E TECNOLOGIA,Eduardo Pedrosa,"10.457.936/0001-08",
04008-00000392/2025-36,INSTITUTO PLANALTO,"500.000,00",ESCOLA DIGITAL PARA JOVENS - TECNOLOGIA CONTRA A VIOLÊNCIA,"Joaquim Roriz Neto, Lolando",18.118.525/0001-91,
04008-00000426/2025-92,INSTITUTO MULTIPLICIDADES,"300.000,00",AGRO HACK IDEIAS,Thiago Manzoni,36.187.736/0001-68,
04008-00000431/2025-03,INSTITUTO ORGANIZACIONAL FEDERAL,"146.000,00",Star Wars Day - 04 de Maio,Daniel Donizet,07.956.588/0001-09,
04008-00000432/2025-40,INSTITUTO CULTURAL ESTRELA ELA - ICEE,"1.000.000,00","""REALITY GAMER DF""",martins e iolando,04.947.540/0001-38,
04008-00000335/2025-57,SOCIAL ESPORTIVA MARINGÁ,"200.000,00","""CURSO DE DRONEMODELISMO PARA ESCOLAS PÚBLICAS""",Paula Belmonte,06.940.235/0001-40,
04008-00000434/2025-39,"COOPERATIVA AGROPECUÁRIA DA REGIÃO DO DISTRITO FEDERAL LTDA - COOPA/DF,","200.000,00","""AMBIENTE DE TECNOLOGIA E INOVAÇÃO AGROBRASÍLIA 2025""",Thiago Manzoni,00.518.969/0001-59,
04008-00000430/2025-51,"ORGANIZAÇÃO DE AÇÃO SOCIAL, ESPORTE E CULTURA - VEM SER","200.000,00",TECNO + BRASIL,MARTINS MACHADO,17.049.335/0001-05,
04008-00000433/2025-94,instituto amigo fiel,"100.000,00","CIDADANIA DIGITAL KIDS""",iolando,34.770.748/0001-95,
04008-00000573/2025-62,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS,"100.000,00",MENINAS.COMP,Jaqueline Silva,37.116.704/0001-34,
04008-00000581/2025-17,INSTITUTO PLANALTO,"300.000,00",APROVA VP,pastor daniel de casto,18.118.525/0001-91,
04008-00000607/2025-19,INSTITUTO BRASIL RESPEITO HUMANO,"1.000.000,00",INCLUSÃO E-SPORTS,João Cardoso,10.374.095/0001-67,
04008-00000605/2025-20,INSTITUTO SOCIOCULTURAL COMUNITARIO - ISC,"1.000.000,00",CONECTA CEI,Hermeto,44.514.532/0001-12,
04008-00000628/2025-34,INSTITUTO BEM VIVER DF,"700.000,00",ACELERA TECH,Jaqueline Silva e lolano,43.817.968/0001-18,
04008-00000635/2025-36,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS,"400.000,00",PROGRAMA DE RESIDÊNCIA MULTIPROFISSIONAL CTS - HABITAT,Max Maciel,37.116.704/0001-34,
04008-00000633/2025-47,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS - FINATEC,"526.000,00",IFB: ELATECH: TRANSFORMANDO MULHERES E MENINAS COM TECNOLOGIA,Rogério Morro da Cruz,37.116.704/0001-34,
04008-00000634/2025-91,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS - FINATEC,"300.000,00","Projeto ""LABSOLAR+""",Max Maciel,37.116.704/0001-34,
04008-00000630/2025-11,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS - FINATEC,"574.000,00","UNB: MULHERES NA NANOCIÊNCIA - NANOTECNOLOGIA: FORMAÇÃO, INOVAÇÃO E DISRUPÇÃO PARA O FUTURO",Rogério Morro da Cruz,37.116.704/0001-34,
04008-00000690/2025-26,"PROJETO LUCAS - INSTITUTO SOCIAL ASSISTENCIAL, EDUCACIONAL E CULTURAL","1.100.000,00",MTECH 2025,Thiago Manzoni,13.133.676/0001-03,
04008-00000691/2025-71,ASSOCIAÇÃO ÁGUAS CLARAS,"250.000,00",CONECTADOS,Thiago Manzoni,46.909.197/0001-87,
04008-00000696/2025-01,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOGICOS,"4.257.325,40",PROJETO PILOTO DE PESQUISA E DESENVOLVIMENTO TECNOLÓGICO PARA MODERNIZAÇÃO TECNOLÓGICA DO SETOR COMERCIAL SUL DE BRASÍLIA (SCS),doutora jane,37.116.704/0001-34,
04008-00000700/2025-23,INSTITUTO CULTURAL E SOCIAL NO SETOR,"400.000,00",FESTIVAL SETOR CRIATIVO SUL,Fábio Felix,36.139.498/0001-15,
04008-00000831/2025-19,"INSTITUTO DE CULTURA, ESPORTE E TECNOLOGIA BRASÍLIA - ICETEB",1.000.000,IGXP CO,Jaqueline Silva,30.834.625/0001-10,
04008-00000989/2025-81,MOVIMENTO INOVA,"850.000,00",agrotech brasilia 2025,pastor daniel,26.757.699/0001-22.,
04008-00001041/2025-42,"ICETEB - INSTITUTO DE CULTURA, ESPORTE E TECNOLOGIA BRASILIA",500.000,CPD - CENTRO DE PROMOÇÃO DIGITAL,Eduardo Pedrosa,30.834.625/0001-10,
04008-00001083/2025-83,"ANJOGAMES ASSOCIACAO NACIONAL DE JOGOS, CAMPEONATOS, EQUIPES E JOGADORES ELETRONICOS","500.000,00","""FESTIVAL NEXT LEVEL""",Jaqueline Silva,20.801.244/0001-80,
04008-00001082/2025-39,INSTITUTO ENTRE NOS TECNOLOGIAS SOCIAIS,"400.000,00",BYTEZONE,Pepa,32.005.699/0001-79,
04008-00001259/2025-05,"ASSOCIAÇÃO DAS EMPRESAS FOMENTADORAS DO BEM ESTAR - AEFBE,","600.000,00",PLANETÁRIO ITINERANTE,Jaqueline Silva,32.854.460/0001-73,
